sip_timestamp,ask_price,ask_size,bid_price,bid_size
1653497452906943117,5.94,4,5.92,1
1653497468813895418,5.94,1,5.92,1
1653497468875971081,5.94,1,5.88,1
1653497468875993579,5.93,1,5.88,1
1653497468875995812,5.93,2,5.88,1
1653497468876302124,5.93,2,5.86,1
1653497468876320691,5.93,2,5.84,5
1653497468876442005,5.93,2,5.86,1
1653497468876466660,5.93,2,5.84,5
1653497468876589249,5.93,1,5.84,7
1653497468877973482,5.93,1,5.84,6
1653497468877987559,6,2,5.84,6
1653497468877993292,6,1,5.84,6
1653497468878089837,6.03,1,5.84,6
1653497468878279014,5.93,1,5.84,6
1653497468878416196,5.93,1,5.84,6
1653497468878517832,6.03,1,5.84,6
1653497468878993277,6.06,1,5.84,6
1653497469179368169,6.06,1,5.84,4
1653497469180007670,6.06,1,5.81,1
1653497469180501598,6.06,3,5.81,1
1653497469480537781,6.06,1,5.81,4
1653497558699881664,6.05,3,5.82,1
1653497558701596646,6.05,3,5.81,4
1653497933276274632,6.05,3,5.92,1
1653497933276611648,6.05,3,5.88,4
1653498213166629973,6.05,3,5.84,1
1653498213167012899,6.05,3,5.83,5
1653498290381379349,6.05,3,5.79,1
1653498290381714505,6.05,3,5.77,5
1653498376279992248,6.05,1,5.79,1
1653498378393700686,6.04,1,5.79,1
1653498391627979097,6.04,2,5.79,1
1653498625687534524,6.04,1,5.88,1
1653498625687689897,6.04,2,5.88,1
1653498625698017380,6.04,2,5.85,1
1653498625698664762,6.04,2,5.77,4
1653498625699450333,6.04,2,5.81,1
1653498625700240752,6.04,2,5.81,2
1653499052355142175,6.04,2,5.81,1
1653499052355847631,6.04,2,5.77,4
1653499052712993427,6.04,2,5.78,1
1653499052713673842,6.04,2,5.77,4
1653499278839442348,6.04,1,5.79,2
1653499663927232826,6.01,1,5.79,1
1653499663927248301,6.03,2,5.79,1
1653499663927710408,6.01,1,5.79,1
1653499663927858341,6.01,1,5.79,1
1653499665805756599,6,1,5.79,1
1653499666317590693,6,1,5.79,1
1653499681629348512,6,2,5.79,1
1653499929191628800,6,2,5.77,4
1653500566584236040,6,1,5.77,4
1653501482783158205,5.99,1,5.77,4
1653502390306526470,5.98,1,5.77,4
1653504779723537478,5.95,2,5.81,1
1653504779723820377,5.95,2,5.81,1
1653504779724110287,5.95,2,5.77,5
1653506207901942982,5.93,2,5.81,1
1653506207911966708,5.93,2,5.81,1
1653506207912057102,5.93,2,5.81,1
1653506207912292190,5.93,2,5.81,1
1653506207912330337,5.93,2,5.81,1
1653506207912335414,5.93,2,5.77,4
1653506927276610282,5.94,1,5.77,5
1653506989429809271,5.97,1,5.77,5
1653506989429834571,5.97,1,5.85,1
1653506989430154164,6,1,5.85,1
1653506989430288950,6.03,1,5.85,1
1653506989430356291,6.03,1,5.77,4
1653506989430364126,6.03,1,5.81,1
1653506989430553747,6,2,5.81,1
1653506989431404990,6,2,5.77,5
1653506991430951525,6.03,1,5.77,5
1653506993431063802,6.03,1,5.77,4
1653506993552661128,6.03,1,5.78,1
1653506993677759415,6.03,1,5.77,4
1653506994078941556,6.03,1,5.78,1
1653506994177815445,6.03,1,5.77,4
1653506994979760401,6.03,1,5.78,1
1653506995188326446,6.03,1,5.77,4
1653506995548090928,6.03,1,5.78,1
1653506995686435154,6.03,1,5.77,4
1653506996176125178,6.03,1,5.78,1
1653506996432725294,6.03,1,5.77,4
1653506996780637971,6.03,1,5.78,1
1653506997001974154,6.03,1,5.77,4
1653506997317925511,6.03,1,5.78,1
1653506997427987119,6.03,1,5.77,4
1653506998118254481,6.03,1,5.78,1
1653506998204364507,6.03,1,5.77,4
1653506998567360224,6.03,1,5.78,1
1653506998714654132,6.03,1,5.77,4
1653506998957699536,6.03,1,5.78,1
1653506999020507555,6.03,1,5.77,4
1653506999435806457,6.03,1,5.78,1
1653506999517576043,6.03,1,5.77,4
1653506999799146994,6.03,1,5.78,1
1653506999866683803,6.03,1,5.77,4
1653507000259208764,6.03,1,5.78,1
1653507000390807765,6.03,1,5.77,4
1653507000851802874,6.03,1,5.78,1
1653507001117945446,6.03,1,5.77,4
1653507002851146695,6.03,1,5.78,1
1653507003123815084,6.03,1,5.77,4
1653507005851112034,6.03,1,5.78,1
1653507006159475842,6.03,1,5.77,4
1653507014134629838,6.05,1,5.77,4
1653507030045893167,6.05,1,5.77,5
1653507051850836630,6.05,1,5.78,1
1653507051851920887,6.05,1,5.78,2
1653507052104427198,6.05,1,5.78,1
1653507052285577881,6.05,1,5.79,1
1653507052287975905,6.05,1,5.79,2
1653507537713497293,5.98,1,5.79,1
1653507537713521402,5.98,1,5.86,1
1653507537713866148,6.03,1,5.86,1
1653507537714116143,6.03,1,5.82,1
1653507537714249916,6.03,2,5.82,1
1653507537719500250,6.03,2,5.7,6
1653508082148515948,6.04,1,5.9,1
1653508082148851348,6.04,1,5.88,1
1653508082148859159,6.04,1,5.85,11
1653508082164801380,6.04,1,5.86,1
1653508082684824472,6.04,1,5.85,13
1653508093530381775,6.04,1,5.86,1
1653508094043444788,6.04,1,5.85,11
1653508113475739173,6.04,1,5.86,1
1653508113979380440,6.04,1,5.85,11
1653508136554209644,6.04,1,5.86,1
1653508137041975665,6.04,1,5.85,11
1653508158479082780,6.04,1,5.86,1
1653508158996954871,6.04,1,5.85,11
1653508186938676013,6.04,1,5.86,1
1653508187461299510,6.04,1,5.85,11
1653508218785771023,6.05,1,5.85,11
1653508219779173448,6.05,1,5.85,12
1653508220050175141,6.05,1,5.85,11
1653508285364729717,5.99,6,5.82,1
1653508285365101275,5.99,6,5.8,1
1653508293073832613,5.99,1,5.8,1
1653508293074775982,5.98,5,5.8,1
1653508299293696722,5.97,1,5.8,1
1653508451273588515,6.02,1,5.86,11
1653508542538075685,6.01,1,5.88,11
1653508542538098691,6.01,1,5.92,1
1653508542538429533,6.05,2,5.92,1
1653508787177457304,6.05,3,5.83,1
1653508800567085733,6.2,53,5.45,1
1653508800567088427,6.22,1,5.45,1
1653508800578640148,6.27,1,5.45,1
1653508800613956527,6.29,1,5.45,1
1653508800625985065,6.3,2,5.45,1
1653508800638214822,6.3,1,5.45,1
1653508800638218384,6.41,1,5.45,1
1653508800663752763,6.45,15,5.45,1
1653508800677474783,6.45,1,5.45,1
1653508800850104684,6.45,1,5.18,1
1653508800850862928,6.45,1,5.18,1
1653508800850873842,6.45,1,5.03,1
1653508800852249418,6.73,1,5.03,1
1653508800852997649,6.73,1,5.03,1
